Hindi,English
भाषा,Language
माता-पिता,Parents
स्कूल,School
बच्चा,Child
प्रेम,Love
दोस्त,Friend
खाना,Food
पानी,Water
मकान,House
बारिश,Rain
महिला,Woman
पुरुष,Man
दिन,Day
रात,Night
समय,Time
सूरज,Sun
चांद,Moon
स्थान,Place
देश,Country
शहर,City
गाँव,Village
राजा,King
रानी,Queen
किताब,Book
पेन,Pen
क़लम,Pencil
कागज़,Paper
नमक,Salt
चीनी,Sugar
खेल,Game
बॉल,Ball
घर,Home
मुझे,Me
उसे,Him/Her
तुम,You (plural)
वह,They
कौन,Who
क्या,What
कहाँ,Where
कब,When
कैसे,How
यह,This
वह,That
यहाँ,Here
वहाँ,There
अच्छा,Good
बुरा,Bad
बड़ा,Big
छोटा,Small
पुराना,Old
हल्का,Light
भारी,Heavy
सफ़ेद,White
काला,Black
लाल,Red
हरा,Green
नीला,Blue
पीला,Yellow
काली,Dark
ऊँचा,High
नीचा,Low
ठंडा,Cold
गरम,Hot
मिलना,To meet
जाना,To go
आना,To come
ख़रीदना,To buy
बेचना,To sell
देना,To give
लेना,To take
ख़ाना,To eat
पीना,To drink
सोना,To sleep
उठना,To wake up
पढ़ना,To read
लिखना,To write
समझना,To understand
बोलना,To speak
सुनना,To listen
देखना,To see
जानकारी,Information
विचार,Idea
सोच,Thought
योजना,Plan
मार्ग,Way
काम,Work
सेवा,Service
संगठन,Organization
उद्योग,Industry
व्यापार,Business
अध्ययन,Study
शिक्षा,Education
स्वास्थ्य,Health
भारत,India
दुनिया,World
विज्ञान,Science
गणित,Mathematics
प्रकार,Type
बात,Talk
समस्या,Problem
समाधान,Solution
जीवन,Life
खुशी,Happiness
दुःख,Sorrow
हार,Failure
सप्ताह,Week
महिना,Month
वर्ष,Year
कार,Car
बाइक,Bike
ट्रेन,Train
विमान,Airplane
बस,Bus
रेलवे स्टेशन,Railway Station
बंदर,Monkey
बिल्ली,Cat
कुत्ता,Dog
बिल्ला,Tiger
बकरी,Goat
बछड़ा,Calf
हाथी,Elephant
घोड़ा,Horse
गाय,Cow
बकरा,Sheep
मुर्गा,Chicken
मछली,Fish
केला,Banana
सेब,Apple
आलू,Potato
प्याज,Onion
टमाटर,Tomato
भिंडी,Okra
गाजर,Carrot
पालक,Spinach
अंडा,Egg
दूध,Milk
मक्खन,Butter
चाय,Tea
कॉफी,Coffee
पानीपूरी,Golgappa
दाल,Lentils
चावल,Rice
रोटी,Bread
देशभक्ति,Patriotism
स्वतंत्रता,Freedom
संगीत,Music
नृत्य,Dance
चित्र,Picture
संगठन,Organization
संवाद,Dialogue
संबंध,Relationship
आकाश,Sky
पृथ्वी,Earth
सूर्य,Sun
चंद्रमा,Moon
तारा,Star
जल,Water
बारिश,Rain
बादल,Cloud
पौधा,Plant
वृक्ष,Tree
फूल,Flower
पेड़,Tree
भूमि,Land
धरती,Land
पशु,Animal
पक्षी,Bird
बगीचा,Garden
नदी,River
समुंदर,Sea
बर्फ़,Snow
आकार,Shape
रंग,Color
सांवला,Brown
गहना,Jewelry
लिपि,Script
विज्ञान,Science
पर्यावरण,Environment
वायुमंडल,Atmosphere
ग्रह,Planet
